dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795.0,3204
2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331.0,3944
2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.4074545,0.325258,745,3444.0,4189
2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506.0,1683
2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.8685415000000001,0.230725,1462,2574.0,4036
2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481.0,4191
2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300.0,4073
2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722.0,4400
2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325.0,3872
2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489.0,4058
2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717.0,4595
2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347.0,5312
2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213.0,3351
2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554.0,4401
2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848.0,4451
2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378.0,2633
2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819.0,4433
2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714.0,4608
2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102.0,4714
2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.07961665000000001,1401,2932.0,4333
2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698.0,4362
2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109.0,4803
2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632.0,4182
2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169.0,4864
2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413.0,4105
2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.8685415000000001,0.13495,902,2507.0,3409
2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971.0,4553
2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185.0,3958
2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445.0,4123
2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.8685415000000001,0.201492,536,3319.0,3855
2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840.0,4575
2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008.0,4917
2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547.0,5805
2011-05-22,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084.0,4660
2011-05-23,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438.0,4274
2011-05-24,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833.0,4492
2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238.0,4978
2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919.0,4677
2011-05-27,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808.0,4679
2011-05-28,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757.0,4758
2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433.0,4788
2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549.0,4098
2011-05-31,2,0,5,0,2,1,1,0.76875,0.714967,0.636667,0.111329,673,3309.0,3982
2011-06-01,2,0,6,0,3,1,2,0.764167,0.714967,0.677083,0.207092,513,3461.0,3974
2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.4074545,0.292287,736,4232.0,4968
2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.4074545,0.253121,898,4414.0,5312
2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473.0,5342
2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221.0,4906
2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875.0,4548
2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070.0,4833
2011-06-08,2,0,6,0,3,1,1,0.76875,0.714967,0.622083,0.136817,676,3725.0,4401
2011-06-09,2,0,6,0,4,1,2,0.76875,0.714967,0.568333,0.149883,563,3352.0,3915
2011-06-10,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771.0,4586
2011-06-11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237.0,4966
2011-06-12,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993.0,4460
2011-06-13,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157.0,5020
2011-06-14,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164.0,4891
2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411.0,5180
2011-06-16,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222.0,3767
2011-06-17,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981.0,4844
2011-06-18,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312.0,5119
2011-06-19,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105.0,4744
2011-06-20,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311.0,4010
2011-06-21,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061.0,4835
2011-06-22,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846.0,4507
2011-06-23,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044.0,4790
2011-06-24,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022.0,4991
2011-06-25,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420.0,5202
2011-06-26,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385.0,5305
2011-06-27,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854.0,4708
2011-06-28,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916.0,4648
2011-06-29,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377.0,5225
2011-06-30,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488.0,5515
2011-07-01,3,0,7,0,5,1,1,0.7225,0.652162,0.4074545,0.102608,1246,4116.0,5362
2011-07-02,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915.0,5119
2011-07-03,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367.0,4649
2011-07-04,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,2355,2978.0,6043
2011-07-05,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634.0,4665
2011-07-06,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845.0,4629
2011-07-07,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838.0,4592
2011-07-08,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348.0,4040
2011-07-09,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348.0,5336
2011-07-10,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138.0,4881
2011-07-11,3,0,7,0,1,1,1,0.7625,0.714967,0.635833,0.282337,723,3363.0,4086
2011-07-12,3,0,7,0,2,1,1,0.76875,0.714967,0.559167,0.200254,662,3596.0,4258
2011-07-13,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594.0,4342
2011-07-14,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196.0,5084
2011-07-15,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220.0,5538
2011-07-16,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2355,3505.0,5923
2011-07-17,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296.0,5302
2011-07-18,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617.0,4458
2011-07-19,3,0,7,0,2,1,1,0.76875,0.714967,0.650417,0.1306,752,3789.0,4541
2011-07-20,3,0,7,0,3,1,1,0.768333,0.714967,0.707083,0.113817,644,3688.0,4332
2011-07-21,3,0,7,0,4,1,2,0.76875,0.714967,0.69125,0.222021,632,3152.0,3784
2011-07-22,3,0,7,0,5,1,1,0.76875,0.714967,0.580417,0.1331,562,2825.0,3387
2011-07-23,3,0,7,0,6,0,1,0.76875,0.714967,0.5,0.131221,987,2298.0,3285
2011-07-24,3,0,7,0,0,0,1,0.76875,0.714967,0.550833,0.169171,1050,2556.0,3606
2011-07-25,3,0,7,0,1,1,1,0.743333,0.714967,0.757083,0.0908083,568,3272.0,3840
2011-07-26,3,0,7,0,2,1,1,0.76875,0.696979,0.540833,0.200258,750,3840.0,4590
2011-07-27,3,0,7,0,3,1,1,0.76875,0.690667,0.4074545,0.183463,755,3901.0,4656
2011-07-28,3,0,7,0,4,1,1,0.76875,0.714967,0.583333,0.178479,606,3784.0,4390
2011-07-29,3,0,7,0,5,1,1,0.76875,0.714967,0.5425,0.174138,670,3176.0,3846
2011-07-30,3,0,7,0,6,0,1,0.76875,0.714967,0.465833,0.168537,1559,2916.0,4475
2011-07-31,3,0,7,0,0,0,1,0.76875,0.714967,0.480833,0.164813,1524,2778.0,4302
2011-08-01,3,0,8,0,1,1,1,0.76875,0.703292,0.550833,0.156717,729,3537.0,4266
2011-08-02,3,0,8,0,2,1,1,0.76875,0.707071,0.49125,0.20585,801,4044.0,4845
2011-08-03,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,3107.0,3574
2011-08-04,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3777.0,4576
2011-08-05,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843.0,4866
2011-08-06,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773.0,4294
2011-08-07,3,0,8,0,0,0,1,0.7425,0.714967,0.752917,0.201487,1298,2487.0,3785
2011-08-08,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3480.0,4326
2011-08-09,3,0,8,0,2,1,1,0.76875,0.714967,0.570417,0.151121,907,3695.0,4602
2011-08-10,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884,3896.0,4780
2011-08-11,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3980.0,4792
2011-08-12,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3854.0,4905
2011-08-13,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,2646.0,4150
2011-08-14,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482.0,3820
2011-08-15,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775,3563.0,4338
2011-08-16,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721,4004.0,4725
2011-08-17,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668,4026.0,4694
2011-08-18,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,3166.0,3805
2011-08-19,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3356.0,4153
2011-08-20,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914,3277.0,5191
2011-08-21,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249,2624.0,3873
2011-08-22,3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3925.0,4758
2011-08-23,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1281,4614.0,5895
2011-08-24,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,949,4181.0,5130
2011-08-25,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,435,3107.0,3542
2011-08-26,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,768,3893.0,4661
2011-08-27,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.343283,226,1177.5,1331
2011-08-28,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1415,2919.0,4334
2011-08-29,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,729,3905.0,4634
2011-08-30,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,775,4429.0,5204
2011-08-31,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,688,4370.0,5058
2011-09-01,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,783,4332.0,5115
2011-09-02,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,875,3852.0,4727
2011-09-03,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1935,2549.0,4484
2011-09-04,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2355,2419.0,4940
2011-09-05,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1236,2115.0,3351
2011-09-06,3,0,9,0,2,1,3,0.54,0.5152,0.8685415000000001,0.343283,204,2506.0,2710
2011-09-07,3,0,9,0,3,1,3,0.599167,0.544229,0.8685415000000001,0.0970208,118,1878.0,1996
2011-09-08,3,0,9,0,4,1,3,0.633913,0.555361,0.8685415000000001,0.192748,153,1689.0,1842
2011-09-09,3,0,9,0,5,1,2,0.65,0.578946,0.8685415000000001,0.124379,417,3127.0,3544
2011-09-10,3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1750,3595.0,5345
2011-09-11,3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1633,3413.0,5046
2011-09-12,3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,690,4023.0,4713
2011-09-13,3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701,4062.0,4763
2011-09-14,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,647,4138.0,4785
2011-09-15,3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,428,3231.0,3659
2011-09-16,3,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,742,4018.0,4760
2011-09-17,3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1434,3077.0,4511
2011-09-18,3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,1353,2921.0,4274
2011-09-19,3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,691,3848.0,4539
2011-09-20,3,0,9,0,2,1,2,0.561667,0.532217,0.8685415000000001,0.134954,438,3203.0,3641
2011-09-21,3,0,9,0,3,1,2,0.595,0.550533,0.8685415000000001,0.0964042,539,3813.0,4352
2011-09-22,3,0,9,0,4,1,2,0.628333,0.554963,0.8685415000000001,0.128125,555,4240.0,4795
2011-09-23,4,0,9,0,5,1,2,0.609167,0.522125,0.8685415000000001,0.07961665000000001,258,2137.0,2395
2011-09-24,4,0,9,0,6,0,2,0.606667,0.564412,0.8625,0.07961665000000001,1776,3647.0,5423
2011-09-25,4,0,9,0,0,0,2,0.634167,0.572637,0.845,0.07961665000000001,1544,3466.0,5010
2011-09-26,4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,684,3946.0,4630
