datetime,date,hour,season,yr,mnth,holiday,weekday,workingday,weathersit,temp_hour,atemp_hour,hum_hour,windspeed_hour,temp_day,atemp_day,hum_day,windspeed_day,cnt
2011-01-01 21:00:00,2011-01-01,21,1,0,1,0,6,0,2,0.4,0.4091,0.87,0.194,0.344167,0.363625,0.805833,0.160446,34
2011-01-01 22:00:00,2011-01-01,22,1,0,1,0,6,0,2,0.4,0.4091,0.94,0.2239,0.344167,0.363625,0.805833,0.160446,28
2011-01-01 23:00:00,2011-01-01,23,1,0,1,0,6,0,2,0.46,0.4545,0.88,0.2985,0.344167,0.363625,0.805833,0.160446,39
2011-01-02 00:00:00,2011-01-02,0,1,0,1,0,0,0,2,0.46,0.4545,0.88,0.2985,0.363478,0.353739,0.696087,0.248539,17
2011-01-02 01:00:00,2011-01-02,1,1,0,1,0,0,0,2,0.44,0.4394,0.94,0.2537,0.363478,0.353739,0.696087,0.248539,17
2011-01-02 02:00:00,2011-01-02,2,1,0,1,0,0,0,2,0.42,0.4242,1.0,0.2836,0.363478,0.353739,0.696087,0.248539,9
2011-01-02 03:00:00,2011-01-02,3,1,0,1,0,0,0,2,0.46,0.4545,0.94,0.194,0.363478,0.353739,0.696087,0.248539,6
2011-01-02 04:00:00,2011-01-02,4,1,0,1,0,0,0,2,0.46,0.4545,0.94,0.194,0.363478,0.353739,0.696087,0.248539,3
2011-01-02 06:00:00,2011-01-02,6,1,0,1,0,0,0,3,0.42,0.4242,0.77,0.2985,0.363478,0.353739,0.696087,0.248539,2
2011-01-02 07:00:00,2011-01-02,7,1,0,1,0,0,0,2,0.4,0.4091,0.76,0.194,0.363478,0.353739,0.696087,0.248539,1
2011-01-02 08:00:00,2011-01-02,8,1,0,1,0,0,0,3,0.4,0.4091,0.71,0.2239,0.363478,0.353739,0.696087,0.248539,8
2011-01-02 09:00:00,2011-01-02,9,1,0,1,0,0,0,2,0.38,0.3939,0.76,0.2239,0.363478,0.353739,0.696087,0.248539,20
2011-01-02 10:00:00,2011-01-02,10,1,0,1,0,0,0,2,0.36,0.3485,0.81,0.2239,0.363478,0.353739,0.696087,0.248539,53
2011-01-02 11:00:00,2011-01-02,11,1,0,1,0,0,0,2,0.36,0.3333,0.71,0.2537,0.363478,0.353739,0.696087,0.248539,70
2011-01-02 12:00:00,2011-01-02,12,1,0,1,0,0,0,2,0.36,0.3333,0.66,0.2985,0.363478,0.353739,0.696087,0.248539,93
2011-01-02 13:00:00,2011-01-02,13,1,0,1,0,0,0,2,0.36,0.3485,0.66,0.1343,0.363478,0.353739,0.696087,0.248539,75
2011-01-02 14:00:00,2011-01-02,14,1,0,1,0,0,0,3,0.36,0.3485,0.76,0.194,0.363478,0.353739,0.696087,0.248539,59
2011-01-02 15:00:00,2011-01-02,15,1,0,1,0,0,0,3,0.34,0.3333,0.81,0.1642,0.363478,0.353739,0.696087,0.248539,74
2011-01-02 16:00:00,2011-01-02,16,1,0,1,0,0,0,3,0.34,0.3333,0.71,0.1642,0.363478,0.353739,0.696087,0.248539,76
2011-01-02 17:00:00,2011-01-02,17,1,0,1,0,0,0,1,0.34,0.3333,0.57,0.194,0.363478,0.353739,0.696087,0.248539,65
2011-01-02 18:00:00,2011-01-02,18,1,0,1,0,0,0,2,0.36,0.3333,0.46,0.3284,0.363478,0.353739,0.696087,0.248539,53
2011-01-02 19:00:00,2011-01-02,19,1,0,1,0,0,0,1,0.32,0.2879,0.42,0.4478,0.363478,0.353739,0.696087,0.248539,30
2011-01-02 20:00:00,2011-01-02,20,1,0,1,0,0,0,1,0.3,0.2727,0.39,0.3582,0.363478,0.353739,0.696087,0.248539,22
2011-01-02 21:00:00,2011-01-02,21,1,0,1,0,0,0,1,0.26,0.2273,0.44,0.3284,0.363478,0.353739,0.696087,0.248539,31
2011-01-02 22:00:00,2011-01-02,22,1,0,1,0,0,0,1,0.24,0.2121,0.44,0.2985,0.363478,0.353739,0.696087,0.248539,9
2011-01-02 23:00:00,2011-01-02,23,1,0,1,0,0,0,1,0.22,0.2273,0.47,0.1642,0.363478,0.353739,0.696087,0.248539,8
2011-01-03 00:00:00,2011-01-03,0,1,0,1,0,1,1,1,0.22,0.197,0.44,0.3582,0.196364,0.189405,0.437273,0.248309,5
2011-01-03 01:00:00,2011-01-03,1,1,0,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0.196364,0.189405,0.437273,0.248309,2
2011-01-03 04:00:00,2011-01-03,4,1,0,1,0,1,1,1,0.16,0.1364,0.47,0.3881,0.196364,0.189405,0.437273,0.248309,1
2011-01-03 05:00:00,2011-01-03,5,1,0,1,0,1,1,1,0.16,0.1364,0.47,0.2836,0.196364,0.189405,0.437273,0.248309,3
2011-01-03 06:00:00,2011-01-03,6,1,0,1,0,1,1,1,0.14,0.1061,0.5,0.3881,0.196364,0.189405,0.437273,0.248309,30
2011-01-03 07:00:00,2011-01-03,7,1,0,1,0,1,1,1,0.14,0.1364,0.5,0.194,0.196364,0.189405,0.437273,0.248309,64
2011-01-03 08:00:00,2011-01-03,8,1,0,1,0,1,1,1,0.14,0.1212,0.5,0.2836,0.196364,0.189405,0.437273,0.248309,154
2011-01-03 09:00:00,2011-01-03,9,1,0,1,0,1,1,1,0.16,0.1364,0.43,0.3881,0.196364,0.189405,0.437273,0.248309,88
2011-01-03 10:00:00,2011-01-03,10,1,0,1,0,1,1,1,0.18,0.1667,0.43,0.2537,0.196364,0.189405,0.437273,0.248309,44
2011-01-03 11:00:00,2011-01-03,11,1,0,1,0,1,1,1,0.2,0.1818,0.4,0.3284,0.196364,0.189405,0.437273,0.248309,51
2011-01-03 12:00:00,2011-01-03,12,1,0,1,0,1,1,1,0.22,0.2121,0.35,0.2985,0.196364,0.189405,0.437273,0.248309,61
2011-01-03 13:00:00,2011-01-03,13,1,0,1,0,1,1,1,0.24,0.2121,0.35,0.2836,0.196364,0.189405,0.437273,0.248309,61
2011-01-03 14:00:00,2011-01-03,14,1,0,1,0,1,1,1,0.26,0.2424,0.3,0.2836,0.196364,0.189405,0.437273,0.248309,77
2011-01-03 15:00:00,2011-01-03,15,1,0,1,0,1,1,1,0.26,0.2424,0.3,0.2537,0.196364,0.189405,0.437273,0.248309,72
2011-01-03 16:00:00,2011-01-03,16,1,0,1,0,1,1,1,0.26,0.2424,0.3,0.2537,0.196364,0.189405,0.437273,0.248309,76
2011-01-03 17:00:00,2011-01-03,17,1,0,1,0,1,1,1,0.24,0.2273,0.3,0.2239,0.196364,0.189405,0.437273,0.248309,157
2011-01-03 18:00:00,2011-01-03,18,1,0,1,0,1,1,1,0.24,0.2576,0.32,0.1045,0.196364,0.189405,0.437273,0.248309,157
2011-01-03 19:00:00,2011-01-03,19,1,0,1,0,1,1,1,0.2,0.2576,0.47,0.0,0.196364,0.189405,0.437273,0.248309,110
2011-01-03 20:00:00,2011-01-03,20,1,0,1,0,1,1,1,0.2,0.2273,0.47,0.1045,0.196364,0.189405,0.437273,0.248309,52
2011-01-03 21:00:00,2011-01-03,21,1,0,1,0,1,1,1,0.18,0.197,0.64,0.1343,0.196364,0.189405,0.437273,0.248309,52
2011-01-03 22:00:00,2011-01-03,22,1,0,1,0,1,1,1,0.14,0.1515,0.69,0.1343,0.196364,0.189405,0.437273,0.248309,20
2011-01-03 23:00:00,2011-01-03,23,1,0,1,0,1,1,1,0.18,0.2121,0.55,0.1045,0.196364,0.189405,0.437273,0.248309,12
2011-01-04 00:00:00,2011-01-04,0,1,0,1,0,2,1,1,0.16,0.1818,0.55,0.1045,0.2,0.212122,0.590435,0.160296,5
2011-01-04 01:00:00,2011-01-04,1,1,0,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0.2,0.212122,0.590435,0.160296,2
2011-01-04 02:00:00,2011-01-04,2,1,0,1,0,2,1,1,0.14,0.1515,0.63,0.1343,0.2,0.212122,0.590435,0.160296,1
2011-01-04 04:00:00,2011-01-04,4,1,0,1,0,2,1,1,0.14,0.1818,0.63,0.0896,0.2,0.212122,0.590435,0.160296,2
2011-01-04 05:00:00,2011-01-04,5,1,0,1,0,2,1,1,0.12,0.1515,0.68,0.1045,0.2,0.212122,0.590435,0.160296,4
2011-01-04 06:00:00,2011-01-04,6,1,0,1,0,2,1,1,0.12,0.1515,0.74,0.1045,0.2,0.212122,0.590435,0.160296,36
2011-01-04 07:00:00,2011-01-04,7,1,0,1,0,2,1,1,0.12,0.1515,0.74,0.1343,0.2,0.212122,0.590435,0.160296,94
2011-01-04 08:00:00,2011-01-04,8,1,0,1,0,2,1,1,0.14,0.1515,0.69,0.1642,0.2,0.212122,0.590435,0.160296,179
2011-01-04 09:00:00,2011-01-04,9,1,0,1,0,2,1,1,0.16,0.1515,0.64,0.2239,0.2,0.212122,0.590435,0.160296,100
2011-01-04 10:00:00,2011-01-04,10,1,0,1,0,2,1,2,0.16,0.1364,0.69,0.3284,0.2,0.212122,0.590435,0.160296,42
2011-01-04 11:00:00,2011-01-04,11,1,0,1,0,2,1,1,0.22,0.2121,0.51,0.2985,0.2,0.212122,0.590435,0.160296,57
2011-01-04 12:00:00,2011-01-04,12,1,0,1,0,2,1,1,0.22,0.2273,0.51,0.1642,0.2,0.212122,0.590435,0.160296,78
2011-01-04 13:00:00,2011-01-04,13,1,0,1,0,2,1,1,0.24,0.2273,0.56,0.194,0.2,0.212122,0.590435,0.160296,97
2011-01-04 14:00:00,2011-01-04,14,1,0,1,0,2,1,1,0.26,0.2576,0.52,0.2239,0.2,0.212122,0.590435,0.160296,63
2011-01-04 15:00:00,2011-01-04,15,1,0,1,0,2,1,1,0.28,0.2727,0.52,0.2537,0.2,0.212122,0.590435,0.160296,65
2011-01-04 16:00:00,2011-01-04,16,1,0,1,0,2,1,1,0.3,0.2879,0.49,0.2537,0.2,0.212122,0.590435,0.160296,83
2011-01-04 17:00:00,2011-01-04,17,1,0,1,0,2,1,1,0.28,0.2727,0.48,0.2239,0.2,0.212122,0.590435,0.160296,212
2011-01-04 18:00:00,2011-01-04,18,1,0,1,0,2,1,1,0.26,0.2576,0.48,0.194,0.2,0.212122,0.590435,0.160296,182
2011-01-04 19:00:00,2011-01-04,19,1,0,1,0,2,1,1,0.24,0.2576,0.48,0.1045,0.2,0.212122,0.590435,0.160296,112
2011-01-04 20:00:00,2011-01-04,20,1,0,1,0,2,1,1,0.24,0.2576,0.48,0.1045,0.2,0.212122,0.590435,0.160296,54
2011-01-04 21:00:00,2011-01-04,21,1,0,1,0,2,1,1,0.22,0.2727,0.64,0.0,0.2,0.212122,0.590435,0.160296,48
2011-01-04 22:00:00,2011-01-04,22,1,0,1,0,2,1,1,0.22,0.2576,0.64,0.0896,0.2,0.212122,0.590435,0.160296,35
2011-01-04 23:00:00,2011-01-04,23,1,0,1,0,2,1,1,0.2,0.2273,0.69,0.0896,0.2,0.212122,0.590435,0.160296,11
2011-01-05 00:00:00,2011-01-05,0,1,0,1,0,3,1,1,0.2,0.2576,0.64,0.0,0.226957,0.22927,0.436957,0.1869,6
2011-01-05 01:00:00,2011-01-05,1,1,0,1,0,3,1,1,0.16,0.197,0.74,0.0896,0.226957,0.22927,0.436957,0.1869,6
2011-01-05 02:00:00,2011-01-05,2,1,0,1,0,3,1,1,0.16,0.197,0.74,0.0896,0.226957,0.22927,0.436957,0.1869,2
2011-01-05 04:00:00,2011-01-05,4,1,0,1,0,3,1,1,0.24,0.2273,0.48,0.2239,0.226957,0.22927,0.436957,0.1869,2
2011-01-05 05:00:00,2011-01-05,5,1,0,1,0,3,1,1,0.22,0.2273,0.47,0.1642,0.226957,0.22927,0.436957,0.1869,3
2011-01-05 06:00:00,2011-01-05,6,1,0,1,0,3,1,1,0.2,0.197,0.47,0.2239,0.226957,0.22927,0.436957,0.1869,33
2011-01-05 07:00:00,2011-01-05,7,1,0,1,0,3,1,1,0.18,0.1818,0.43,0.194,0.226957,0.22927,0.436957,0.1869,88
2011-01-05 08:00:00,2011-01-05,8,1,0,1,0,3,1,1,0.2,0.1818,0.4,0.2985,0.226957,0.22927,0.436957,0.1869,195
2011-01-05 09:00:00,2011-01-05,9,1,0,1,0,3,1,1,0.22,0.197,0.37,0.3284,0.226957,0.22927,0.436957,0.1869,115
2011-01-05 10:00:00,2011-01-05,10,1,0,1,0,3,1,1,0.22,0.197,0.37,0.3284,0.226957,0.22927,0.436957,0.1869,57
2011-01-05 11:00:00,2011-01-05,11,1,0,1,0,3,1,1,0.26,0.2273,0.33,0.3284,0.226957,0.22927,0.436957,0.1869,46
2011-01-05 12:00:00,2011-01-05,12,1,0,1,0,3,1,1,0.26,0.2273,0.33,0.3284,0.226957,0.22927,0.436957,0.1869,79
2011-01-05 13:00:00,2011-01-05,13,1,0,1,0,3,1,1,0.28,0.2576,0.3,0.2985,0.226957,0.22927,0.436957,0.1869,71
2011-01-05 14:00:00,2011-01-05,14,1,0,1,0,3,1,1,0.3,0.2879,0.28,0.194,0.226957,0.22927,0.436957,0.1869,62
2011-01-05 15:00:00,2011-01-05,15,1,0,1,0,3,1,1,0.3,0.2879,0.28,0.194,0.226957,0.22927,0.436957,0.1869,62
2011-01-05 16:00:00,2011-01-05,16,1,0,1,0,3,1,1,0.3,0.3182,0.28,0.0896,0.226957,0.22927,0.436957,0.1869,89
2011-01-05 17:00:00,2011-01-05,17,1,0,1,0,3,1,1,0.24,0.2273,0.38,0.194,0.226957,0.22927,0.436957,0.1869,190
2011-01-05 18:00:00,2011-01-05,18,1,0,1,0,3,1,1,0.24,0.2424,0.38,0.1343,0.226957,0.22927,0.436957,0.1869,169
2011-01-05 19:00:00,2011-01-05,19,1,0,1,0,3,1,1,0.24,0.2576,0.38,0.1045,0.226957,0.22927,0.436957,0.1869,132
2011-01-05 20:00:00,2011-01-05,20,1,0,1,0,3,1,1,0.22,0.2273,0.47,0.1642,0.226957,0.22927,0.436957,0.1869,89
2011-01-05 21:00:00,2011-01-05,21,1,0,1,0,3,1,1,0.2,0.197,0.51,0.194,0.226957,0.22927,0.436957,0.1869,43
2011-01-05 22:00:00,2011-01-05,22,1,0,1,0,3,1,1,0.18,0.197,0.55,0.1343,0.226957,0.22927,0.436957,0.1869,42
2011-01-05 23:00:00,2011-01-05,23,1,0,1,0,3,1,1,0.2,0.2576,0.47,0.0,0.226957,0.22927,0.436957,0.1869,19
2011-01-06 00:00:00,2011-01-06,0,1,0,1,0,4,1,1,0.18,0.2424,0.55,0.0,0.204348,0.233209,0.518261,0.0895652,11
2011-01-06 01:00:00,2011-01-06,1,1,0,1,0,4,1,1,0.16,0.2273,0.64,0.0,0.204348,0.233209,0.518261,0.0895652,4
2011-01-06 02:00:00,2011-01-06,2,1,0,1,0,4,1,1,0.16,0.2273,0.64,0.0,0.204348,0.233209,0.518261,0.0895652,2
2011-01-06 04:00:00,2011-01-06,4,1,0,1,0,4,1,2,0.16,0.197,0.64,0.0896,0.204348,0.233209,0.518261,0.0895652,1
2011-01-06 05:00:00,2011-01-06,5,1,0,1,0,4,1,2,0.14,0.1818,0.69,0.0896,0.204348,0.233209,0.518261,0.0895652,4
2011-01-06 06:00:00,2011-01-06,6,1,0,1,0,4,1,2,0.14,0.1667,0.63,0.1045,0.204348,0.233209,0.518261,0.0895652,36
2011-01-06 07:00:00,2011-01-06,7,1,0,1,0,4,1,2,0.16,0.2273,0.59,0.0,0.204348,0.233209,0.518261,0.0895652,95
2011-01-06 08:00:00,2011-01-06,8,1,0,1,0,4,1,1,0.16,0.2273,0.59,0.0,0.204348,0.233209,0.518261,0.0895652,219
2011-01-06 09:00:00,2011-01-06,9,1,0,1,0,4,1,2,0.18,0.2424,0.51,0.0,0.204348,0.233209,0.518261,0.0895652,122
2011-01-06 10:00:00,2011-01-06,10,1,0,1,0,4,1,1,0.2,0.2576,0.47,0.0,0.204348,0.233209,0.518261,0.0895652,45
2011-01-06 11:00:00,2011-01-06,11,1,0,1,0,4,1,1,0.22,0.2576,0.44,0.0896,0.204348,0.233209,0.518261,0.0895652,59
2011-01-06 12:00:00,2011-01-06,12,1,0,1,0,4,1,1,0.26,0.2879,0.35,0.0,0.204348,0.233209,0.518261,0.0895652,84
2011-01-06 13:00:00,2011-01-06,13,1,0,1,0,4,1,1,0.26,0.2727,0.35,0.1045,0.204348,0.233209,0.518261,0.0895652,67
2011-01-06 14:00:00,2011-01-06,14,1,0,1,0,4,1,1,0.28,0.2727,0.36,0.1642,0.204348,0.233209,0.518261,0.0895652,70
2011-01-06 15:00:00,2011-01-06,15,1,0,1,0,4,1,1,0.28,0.2727,0.36,0.0,0.204348,0.233209,0.518261,0.0895652,62
2011-01-06 16:00:00,2011-01-06,16,1,0,1,0,4,1,1,0.26,0.2576,0.38,0.1642,0.204348,0.233209,0.518261,0.0895652,86
2011-01-06 17:00:00,2011-01-06,17,1,0,1,0,4,1,1,0.22,0.2273,0.51,0.1642,0.204348,0.233209,0.518261,0.0895652,172
2011-01-06 18:00:00,2011-01-06,18,1,0,1,0,4,1,1,0.22,0.2273,0.51,0.1343,0.204348,0.233209,0.518261,0.0895652,163
2011-01-06 19:00:00,2011-01-06,19,1,0,1,0,4,1,1,0.22,0.2576,0.55,0.0896,0.204348,0.233209,0.518261,0.0895652,112
2011-01-06 20:00:00,2011-01-06,20,1,0,1,0,4,1,1,0.2,0.2121,0.51,0.1642,0.204348,0.233209,0.518261,0.0895652,69
2011-01-06 21:00:00,2011-01-06,21,1,0,1,0,4,1,2,0.22,0.2121,0.55,0.2239,0.204348,0.233209,0.518261,0.0895652,48
2011-01-06 22:00:00,2011-01-06,22,1,0,1,0,4,1,2,0.22,0.2121,0.51,0.2836,0.204348,0.233209,0.518261,0.0895652,52
2011-01-06 23:00:00,2011-01-06,23,1,0,1,0,4,1,2,0.2,0.197,0.59,0.194,0.204348,0.233209,0.518261,0.0895652,23
2011-01-07 00:00:00,2011-01-07,0,1,0,1,0,5,1,2,0.2,0.197,0.64,0.194,0.196522,0.208839,0.498696,0.168726,17
2011-01-07 01:00:00,2011-01-07,1,1,0,1,0,5,1,2,0.2,0.197,0.69,0.2239,0.196522,0.208839,0.498696,0.168726,7
2011-01-07 02:00:00,2011-01-07,2,1,0,1,0,5,1,2,0.2,0.197,0.69,0.2239,0.196522,0.208839,0.498696,0.168726,1
2011-01-07 04:00:00,2011-01-07,4,1,0,1,0,5,1,2,0.2,0.2121,0.69,0.1343,0.196522,0.208839,0.498696,0.168726,1
2011-01-07 05:00:00,2011-01-07,5,1,0,1,0,5,1,3,0.22,0.2727,0.55,0.0,0.196522,0.208839,0.498696,0.168726,5
2011-01-07 06:00:00,2011-01-07,6,1,0,1,0,5,1,2,0.2,0.2576,0.69,0.0,0.196522,0.208839,0.498696,0.168726,34
2011-01-07 07:00:00,2011-01-07,7,1,0,1,0,5,1,1,0.2,0.2121,0.69,0.1343,0.196522,0.208839,0.498696,0.168726,84
2011-01-07 08:00:00,2011-01-07,8,1,0,1,0,5,1,1,0.2,0.197,0.51,0.2537,0.196522,0.208839,0.498696,0.168726,210
2011-01-07 09:00:00,2011-01-07,9,1,0,1,0,5,1,1,0.2,0.1818,0.47,0.2985,0.196522,0.208839,0.498696,0.168726,134
2011-01-07 10:00:00,2011-01-07,10,1,0,1,0,5,1,1,0.22,0.197,0.37,0.3284,0.196522,0.208839,0.498696,0.168726,63
2011-01-07 11:00:00,2011-01-07,11,1,0,1,0,5,1,2,0.2,0.197,0.4,0.2239,0.196522,0.208839,0.498696,0.168726,67
2011-01-07 12:00:00,2011-01-07,12,1,0,1,0,5,1,2,0.2,0.197,0.37,0.2537,0.196522,0.208839,0.498696,0.168726,59
2011-01-07 13:00:00,2011-01-07,13,1,0,1,0,5,1,2,0.2,0.1818,0.37,0.2836,0.196522,0.208839,0.498696,0.168726,73
2011-01-07 14:00:00,2011-01-07,14,1,0,1,0,5,1,2,0.2,0.197,0.4,0.2537,0.196522,0.208839,0.498696,0.168726,50
2011-01-07 15:00:00,2011-01-07,15,1,0,1,0,5,1,2,0.2,0.2121,0.37,0.1642,0.196522,0.208839,0.498696,0.168726,72
2011-01-07 16:00:00,2011-01-07,16,1,0,1,0,5,1,2,0.2,0.2121,0.37,0.1642,0.196522,0.208839,0.498696,0.168726,87
2011-01-07 17:00:00,2011-01-07,17,1,0,1,0,5,1,2,0.2,0.2576,0.37,0.0,0.196522,0.208839,0.498696,0.168726,187
2011-01-07 18:00:00,2011-01-07,18,1,0,1,0,5,1,1,0.2,0.2273,0.4,0.0896,0.196522,0.208839,0.498696,0.168726,123
2011-01-07 19:00:00,2011-01-07,19,1,0,1,0,5,1,1,0.16,0.197,0.55,0.0896,0.196522,0.208839,0.498696,0.168726,95
2011-01-07 20:00:00,2011-01-07,20,1,0,1,0,5,1,1,0.18,0.2121,0.47,0.1045,0.196522,0.208839,0.498696,0.168726,51
2011-01-07 21:00:00,2011-01-07,21,1,0,1,0,5,1,1,0.18,0.197,0.47,0.1343,0.196522,0.208839,0.498696,0.168726,39
2011-01-07 22:00:00,2011-01-07,22,1,0,1,0,5,1,2,0.18,0.197,0.43,0.1642,0.196522,0.208839,0.498696,0.168726,36
2011-01-07 23:00:00,2011-01-07,23,1,0,1,0,5,1,2,0.18,0.197,0.51,0.1642,0.196522,0.208839,0.498696,0.168726,15
2011-01-08 00:00:00,2011-01-08,0,1,0,1,0,6,0,2,0.18,0.197,0.51,0.1642,0.165,0.162254,0.535833,0.266804,25
2011-01-08 01:00:00,2011-01-08,1,1,0,1,0,6,0,2,0.18,0.2121,0.55,0.0896,0.165,0.162254,0.535833,0.266804,16
2011-01-08 02:00:00,2011-01-08,2,1,0,1,0,6,0,2,0.18,0.2424,0.55,0.0,0.165,0.162254,0.535833,0.266804,16
2011-01-08 03:00:00,2011-01-08,3,1,0,1,0,6,0,3,0.18,0.197,0.55,0.1642,0.165,0.162254,0.535833,0.266804,7
2011-01-08 04:00:00,2011-01-08,4,1,0,1,0,6,0,3,0.18,0.197,0.55,0.1642,0.165,0.162254,0.535833,0.266804,1
2011-01-08 05:00:00,2011-01-08,5,1,0,1,0,6,0,2,0.16,0.1667,0.74,0.1642,0.165,0.162254,0.535833,0.266804,5
2011-01-08 06:00:00,2011-01-08,6,1,0,1,0,6,0,2,0.16,0.1667,0.74,0.1642,0.165,0.162254,0.535833,0.266804,2
2011-01-08 07:00:00,2011-01-08,7,1,0,1,0,6,0,2,0.16,0.1818,0.74,0.1045,0.165,0.162254,0.535833,0.266804,9
2011-01-08 08:00:00,2011-01-08,8,1,0,1,0,6,0,3,0.16,0.1818,0.93,0.1045,0.165,0.162254,0.535833,0.266804,15
2011-01-08 09:00:00,2011-01-08,9,1,0,1,0,6,0,3,0.16,0.1818,0.93,0.1045,0.165,0.162254,0.535833,0.266804,20
2011-01-08 10:00:00,2011-01-08,10,1,0,1,0,6,0,2,0.18,0.197,0.8,0.1642,0.165,0.162254,0.535833,0.266804,61
2011-01-08 11:00:00,2011-01-08,11,1,0,1,0,6,0,2,0.2,0.1818,0.69,0.3881,0.165,0.162254,0.535833,0.266804,62
2011-01-08 12:00:00,2011-01-08,12,1,0,1,0,6,0,2,0.2,0.1818,0.59,0.3582,0.165,0.162254,0.535833,0.266804,98
2011-01-08 13:00:00,2011-01-08,13,1,0,1,0,6,0,1,0.2,0.1818,0.44,0.3284,0.165,0.162254,0.535833,0.266804,102
2011-01-08 14:00:00,2011-01-08,14,1,0,1,0,6,0,1,0.2,0.1667,0.32,0.4925,0.165,0.162254,0.535833,0.266804,95
2011-01-08 15:00:00,2011-01-08,15,1,0,1,0,6,0,1,0.2,0.1667,0.32,0.4478,0.165,0.162254,0.535833,0.266804,74
2011-01-08 16:00:00,2011-01-08,16,1,0,1,0,6,0,1,0.18,0.1364,0.29,0.4478,0.165,0.162254,0.535833,0.266804,76
2011-01-08 17:00:00,2011-01-08,17,1,0,1,0,6,0,1,0.16,0.1212,0.37,0.5522,0.165,0.162254,0.535833,0.266804,69
2011-01-08 18:00:00,2011-01-08,18,1,0,1,0,6,0,1,0.14,0.1212,0.39,0.2985,0.165,0.162254,0.535833,0.266804,55
2011-01-08 19:00:00,2011-01-08,19,1,0,1,0,6,0,1,0.14,0.1212,0.36,0.2537,0.165,0.162254,0.535833,0.266804,30
2011-01-08 20:00:00,2011-01-08,20,1,0,1,0,6,0,1,0.12,0.1212,0.36,0.2537,0.165,0.162254,0.535833,0.266804,28
2011-01-08 21:00:00,2011-01-08,21,1,0,1,0,6,0,1,0.12,0.1061,0.39,0.3582,0.165,0.162254,0.535833,0.266804,37
