dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-01-07,1,0,1,13,0,5,1,2,0.2,0.2121,0.37,0.2836,9.0,64,73.0
2011-01-07,1,0,1,14,0,5,1,2,0.2,0.2121,0.4,0.2537,7.0,43,50.0
2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9.0,63,72.0
2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5.0,82,87.0
2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9.0,178,187.0
2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7.0,116,123.0
2011-01-07,1,0,1,19,0,5,1,1,0.2,0.2121,0.55,0.0896,3.0,92,95.0
2011-01-07,1,0,1,20,0,5,1,1,0.2,0.2121,0.47,0.1045,1.0,50,51.0
2011-01-07,1,0,1,21,0,5,1,1,0.2,0.2121,0.47,0.1343,0.0,39,39.0
2011-01-07,1,0,1,22,0,5,1,2,0.2,0.2121,0.43,0.1642,2.0,34,36.0
2011-01-07,1,0,1,23,0,5,1,2,0.2,0.2121,0.51,0.1642,1.0,14,15.0
2011-01-08,1,0,1,0,0,6,0,2,0.2,0.2121,0.51,0.1642,1.0,24,25.0
2011-01-08,1,0,1,1,0,6,0,2,0.2,0.2121,0.55,0.0896,1.0,15,16.0
2011-01-08,1,0,1,2,0,6,0,2,0.2,0.2424,0.55,0.0,3.0,13,16.0
2011-01-08,1,0,1,3,0,6,0,3,0.2,0.2121,0.55,0.1642,0.0,7,7.0
2011-01-08,1,0,1,4,0,6,0,3,0.2,0.2121,0.55,0.1642,0.0,4,5.0
2011-01-08,1,0,1,5,0,6,0,2,0.2,0.2121,0.74,0.1642,0.0,5,5.0
2011-01-08,1,0,1,6,0,6,0,2,0.2,0.2121,0.74,0.1642,0.0,4,5.0
2011-01-08,1,0,1,7,0,6,0,2,0.2,0.2121,0.74,0.1045,1.0,8,9.0
2011-01-08,1,0,1,8,0,6,0,3,0.2,0.2121,0.93,0.1045,0.0,15,15.0
2011-01-08,1,0,1,9,0,6,0,3,0.2,0.2121,0.93,0.1045,0.0,20,20.0
2011-01-08,1,0,1,10,0,6,0,2,0.2,0.2121,0.8,0.1642,5.0,56,61.0
2011-01-08,1,0,1,11,0,6,0,2,0.2,0.2121,0.69,0.3881,2.0,60,62.0
2011-01-08,1,0,1,12,0,6,0,2,0.2,0.2121,0.59,0.3582,8.0,90,98.0
2011-01-08,1,0,1,13,0,6,0,1,0.2,0.2121,0.44,0.3284,7.0,95,102.0
2011-01-08,1,0,1,14,0,6,0,1,0.2,0.2121,0.32,0.4179,12.0,83,95.0
2011-01-08,1,0,1,15,0,6,0,1,0.2,0.2121,0.32,0.4179,5.0,69,74.0
2011-01-08,1,0,1,16,0,6,0,1,0.2,0.2121,0.31,0.4179,8.0,68,76.0
2011-01-08,1,0,1,17,0,6,0,1,0.2,0.2121,0.37,0.4179,5.0,64,69.0
2011-01-08,1,0,1,18,0,6,0,1,0.2,0.2121,0.39,0.2985,3.0,52,55.0
2011-01-08,1,0,1,19,0,6,0,1,0.2,0.2121,0.36,0.2537,4.0,26,30.0
2011-01-08,1,0,1,20,0,6,0,1,0.2,0.2121,0.36,0.2537,0.0,28,28.0
2011-01-08,1,0,1,21,0,6,0,1,0.2,0.2121,0.39,0.3582,2.0,35,37.0
2011-01-08,1,0,1,22,0,6,0,1,0.2,0.2121,0.36,0.3881,1.0,33,34.0
2011-01-08,1,0,1,23,0,6,0,1,0.2,0.2121,0.39,0.4179,0.0,22,22.0
2011-01-09,1,0,1,0,0,0,0,1,0.2,0.2121,0.42,0.3881,1.0,24,25.0
2011-01-09,1,0,1,1,0,0,0,1,0.2,0.2121,0.42,0.4179,0.0,12,12.0
2011-01-09,1,0,1,2,0,0,0,1,0.2,0.2121,0.46,0.4179,0.0,11,11.0
2011-01-09,1,0,1,3,0,0,0,1,0.2,0.2121,0.46,0.4179,0.0,4,5.0
2011-01-09,1,0,1,4,0,0,0,1,0.2,0.2121,0.53,0.194,0.0,4,5.0
2011-01-09,1,0,1,5,0,0,0,1,0.2,0.2121,0.53,0.194,0.0,4,5.0
2011-01-09,1,0,1,6,0,0,0,1,0.2,0.2121,0.49,0.2836,0.0,4,5.0
2011-01-09,1,0,1,7,0,0,0,1,0.2,0.2121,0.53,0.194,1.0,5,6.0
2011-01-09,1,0,1,8,0,0,0,1,0.2,0.2121,0.49,0.2836,0.0,10,10.0
2011-01-09,1,0,1,9,0,0,0,1,0.2,0.2121,0.46,0.4179,0.0,19,19.0
2011-01-09,1,0,1,10,0,0,0,1,0.2,0.2121,0.43,0.3881,0.0,49,49.0
2011-01-09,1,0,1,11,0,0,0,1,0.2,0.2121,0.4,0.4179,2.0,47,49.0
2011-01-09,1,0,1,12,0,0,0,1,0.2,0.2121,0.37,0.4179,4.0,79,83.0
2011-01-09,1,0,1,13,0,0,0,1,0.2,0.2121,0.34,0.4179,6.0,69,75.0
2011-01-09,1,0,1,14,0,0,0,1,0.22,0.2121,0.32,0.4179,8.0,64,72.0
2011-01-09,1,0,1,15,0,0,0,1,0.22,0.2121,0.35,0.3582,5.0,77,82.0
2011-01-09,1,0,1,16,0,0,0,1,0.2,0.2121,0.34,0.4179,13.0,79,92.0
2011-01-09,1,0,1,17,0,0,0,1,0.2,0.2121,0.37,0.3881,3.0,59,62.0
2011-01-09,1,0,1,18,0,0,0,1,0.2,0.2121,0.4,0.3284,4.0,44,48.0
2011-01-09,1,0,1,19,0,0,0,1,0.2,0.2121,0.43,0.3284,1.0,40,41.0
2011-01-09,1,0,1,20,0,0,0,1,0.2,0.2121,0.46,0.2537,0.0,38,38.0
2011-01-09,1,0,1,21,0,0,0,1,0.2,0.2121,0.46,0.4179,1.0,19,20.0
2011-01-09,1,0,1,22,0,0,0,1,0.2,0.2121,0.46,0.2985,5.0,10,15.0
2011-01-09,1,0,1,23,0,0,0,1,0.2,0.2121,0.5,0.194,0.0,6,6.0
2011-01-10,1,0,1,0,0,1,1,1,0.2,0.2121,0.5,0.2836,2.0,4,5.0
2011-01-10,1,0,1,1,0,1,1,1,0.2,0.2121,0.5,0.2836,1.0,4,5.0
2011-01-10,1,0,1,2,0,1,1,1,0.2,0.2121,0.5,0.2239,0.0,4,5.0
2011-01-10,1,0,1,3,0,1,1,1,0.2,0.2121,0.5,0.2239,0.0,4,5.0
2011-01-10,1,0,1,4,0,1,1,1,0.2,0.2121,0.54,0.1343,1.0,4,5.0
2011-01-10,1,0,1,5,0,1,1,1,0.2,0.2121,0.54,0.2537,0.0,4,5.0
2011-01-10,1,0,1,6,0,1,1,1,0.2,0.2121,0.5,0.2836,0.0,31,31.0
2011-01-10,1,0,1,7,0,1,1,1,0.2,0.2121,0.5,0.2239,2.0,75,77.0
2011-01-10,1,0,1,8,0,1,1,2,0.2,0.2121,0.5,0.2836,4.0,184,188.0
2011-01-10,1,0,1,9,0,1,1,2,0.2,0.2121,0.5,0.2537,2.0,92,94.0
2011-01-10,1,0,1,10,0,1,1,2,0.2,0.2121,0.5,0.2985,0.0,31,31.0
2011-01-10,1,0,1,11,0,1,1,2,0.2,0.2121,0.47,0.2836,2.0,28,30.0
2011-01-10,1,0,1,12,0,1,1,2,0.2,0.2121,0.4,0.2836,5.0,47,52.0
2011-01-10,1,0,1,13,0,1,1,2,0.2,0.2121,0.4,0.2836,4.0,50,54.0
2011-01-10,1,0,1,14,0,1,1,2,0.2,0.2121,0.4,0.2239,0.0,47,47.0
2011-01-10,1,0,1,15,0,1,1,2,0.2,0.2121,0.4,0.2239,2.0,43,45.0
2011-01-10,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4.0,70,74.0
2011-01-10,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4.0,174,178.0
2011-01-10,1,0,1,18,0,1,1,1,0.2,0.2121,0.4,0.2239,1.0,154,155.0
2011-01-10,1,0,1,19,0,1,1,1,0.2,0.2121,0.47,0.1642,3.0,92,95.0
2011-01-10,1,0,1,20,0,1,1,1,0.2,0.2121,0.5,0.1642,1.0,73,74.0
2011-01-10,1,0,1,21,0,1,1,1,0.2,0.2121,0.59,0.194,1.0,37,38.0
2011-01-10,1,0,1,22,0,1,1,1,0.2,0.2121,0.59,0.1642,2.0,22,24.0
2011-01-10,1,0,1,23,0,1,1,1,0.2,0.2121,0.59,0.1642,0.0,18,18.0
2011-01-11,1,0,1,0,0,2,1,1,0.2,0.2121,0.59,0.1045,2.0,10,12.0
2011-01-11,1,0,1,1,0,2,1,1,0.2,0.2121,0.59,0.1642,0.0,4,5.0
2011-01-11,1,0,1,2,0,2,1,2,0.2,0.2121,0.55,0.194,0.0,4,5.0
2011-01-11,1,0,1,5,0,2,1,2,0.2,0.2121,0.55,0.1343,0.0,6,6.0
2011-01-11,1,0,1,6,0,2,1,2,0.2,0.2121,0.55,0.1343,0.0,27,27.0
2011-01-11,1,0,1,7,0,2,1,2,0.2,0.2273,0.55,0.0,2.0,97,99.0
2011-01-11,1,0,1,8,0,2,1,2,0.2,0.2121,0.51,0.0896,3.0,214,217.0
2011-01-11,1,0,1,9,0,2,1,2,0.2,0.2121,0.51,0.1642,3.0,127,130.0
2011-01-11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3.0,51,54.0
2011-01-11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4.0,31,35.0
2011-01-11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2.0,55,57.0
2011-01-11,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6.0,46,52.0
2011-01-11,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3.0,60,63.0
2011-01-11,1,0,1,15,0,2,1,2,0.2,0.2121,0.8,0.0896,2.0,45,47.0
2011-01-11,1,0,1,16,0,2,1,2,0.2,0.2121,0.86,0.2239,4.0,72,76.0
2011-01-11,1,0,1,17,0,2,1,2,0.2,0.2121,0.86,0.2239,6.0,130,136.0
2011-01-11,1,0,1,18,0,2,1,3,0.2,0.2121,0.93,0.1045,1.0,94,95.0
2011-01-11,1,0,1,19,0,2,1,3,0.2,0.2273,0.93,0.0,0.0,51,51.0
2011-01-11,1,0,1,20,0,2,1,3,0.2,0.2121,0.93,0.194,0.0,32,32.0
2011-01-11,1,0,1,21,0,2,1,3,0.2,0.2121,0.86,0.0896,0.0,20,20.0
2011-01-11,1,0,1,22,0,2,1,3,0.2,0.2121,0.93,0.1045,1.0,28,29.0
2011-01-11,1,0,1,23,0,2,1,3,0.2,0.2121,0.93,0.0896,1.0,18,19.0
2011-01-12,1,0,1,0,0,3,1,2,0.2,0.2121,0.86,0.0896,0.0,7,7.0
2011-01-12,1,0,1,1,0,3,1,2,0.2,0.2121,0.86,0.1045,0.0,6,6.0
2011-01-12,1,0,1,2,0,3,1,1,0.2,0.2121,0.86,0.1343,0.0,4,5.0
2011-01-12,1,0,1,5,0,3,1,1,0.2,0.2121,0.86,0.1642,0.0,5,5.0
2011-01-12,1,0,1,6,0,3,1,1,0.2,0.2121,0.93,0.1343,0.0,16,16.0
2011-01-12,1,0,1,7,0,3,1,1,0.2,0.2121,0.69,0.1343,0.0,54,54.0
2011-01-12,1,0,1,8,0,3,1,1,0.2,0.2121,0.59,0.1642,3.0,125,128.0
2011-01-12,1,0,1,9,0,3,1,1,0.2,0.2121,0.59,0.3284,3.0,78,81.0
2011-01-12,1,0,1,10,0,3,1,1,0.2,0.2121,0.55,0.2239,0.0,39,39.0
2011-01-12,1,0,1,11,0,3,1,1,0.2,0.2121,0.51,0.3881,3.0,32,35.0
2011-01-12,1,0,1,12,0,3,1,1,0.2,0.2121,0.47,0.4179,3.0,52,55.0
2011-01-12,1,0,1,13,0,3,1,1,0.22,0.2121,0.44,0.3582,0.0,49,49.0
2011-01-12,1,0,1,14,0,3,1,1,0.2,0.2121,0.47,0.3284,0.0,44,44.0
2011-01-12,1,0,1,15,0,3,1,1,0.2,0.2121,0.47,0.4179,1.0,48,49.0
2011-01-12,1,0,1,16,0,3,1,1,0.22,0.2121,0.44,0.3284,5.0,63,68.0
2011-01-12,1,0,1,17,0,3,1,1,0.2,0.2121,0.47,0.3582,0.0,139,139.0
2011-01-12,1,0,1,18,0,3,1,1,0.2,0.2121,0.47,0.4179,2.0,135,137.0
2011-01-12,1,0,1,19,0,3,1,1,0.2,0.2121,0.47,0.4179,1.0,82,83.0
